Registration Number,Association Name,State,Cancellation Type,Cancellation Year
104910052,Social Welfare Club,Orissa,On Violation,2017
94590022,Christ The King Convent,Karnataka,On Violation,2017
83930521,Kulswami Medical Foundation,Maharashtra,On Violation,2017
94640052,Durgadevi Mahila Samaja Devarayapatna,Karnataka,On Violation,2017
83980025,Christa Sewa Mandir Financial Project,Maharashtra,On Violation,2017
63170035,Thakur Satruhan Singh Educational Society,Madhya Pradesh,On Violation,2017
41950029,CHILDREN’S MULTI ACTIVITIES TRUST,Gujarat,On Violation,2017
83950001,St. Luke's Hospital,Maharashtra,On Violation,2017
194200062,Social Development & Educational Organisation,Manipur,On Violation,2017
63230011,DEWAS GAURI MAHILA SAMITI,Madhya Pradesh,On Violation,2017
52880050,Vimala Home,Kerala,On Violation,2017
94440068,Nutan Education Trust,Karnataka,On Violation,2017
136760180,Matribhumi Jan Seva Sansthan,Uttar Pradesh,On Violation,2017
337700034,KOSHISH,Jharkhand,On Violation,2017
104830209,Welfare Centre for the Visually Handicapped,Orissa,On Violation,2017
94450041,Dason Solomon Welfaree Association,Karnataka,On Violation,2017
63160072,Peoples All Round Welfare And Development Assistance Council,Madhya Pradesh,On Violation,2017
10180253,RAJAVALLI RADHARAMAN LIONS EYE HOSPITAL,Andhra Pradesh,On Violation,2017
84060023,ADARSH SHIKSHAN PRASARAK MANDAL,Maharashtra,On Violation,2017
52810093,"Save -a-family Plan, S.h. Seminary",Kerala,On Violation,2017
75850231,Lacson Global Educational and Social Service Trust,Tamil Nadu,On Violation,2017
194130385,Rural Voluntary Organisation,Manipur,On Violation,2017
194130195,The Friendship Centre,Manipur,On Violation,2017
31290040,Lokhit Rangpeeth Seva Sansthan,Bihar,On Violation,2017
83920030,SUMAN SEVABHAVI SANSTHA,Maharashtra,On Violation,2017
194160077,Christian Trust of India,Manipur,On Violation,2017
10120154,Nethaji Yuvajana Sangam,Andhra Pradesh,On Violation,2017
76050113,Mother Theresa Womens Organisation,Tamil Nadu,On Violation,2017
194190021,Panthoibi Thant-Ta and Jagoi Sindam Shanglen,Manipur,On Violation,2017
30950027,NARI EVAM BAL UTTHAN JEHANABAD,Bihar,On Violation,2017
147040324,Naikundi Jankalyan Samiti,West Bengal,On Violation,2017
31170378,Bapu Samajik Arthik Vikas Awam Sodh Sanstha,Bihar,On Violation,2017
104830208,Help Foundation,Orissa,On Violation,2017
20780049,The Rhino Foundation for Nature in North East India,Assam,On Violation,2017
10230819,S.RADHASWAMY FOUNDATION,Telangana,On Violation,2017
76020087,SOCIAL HEALTH AND EDUCATION DEVELOPMENT (SHED) TRUST,Tamil Nadu,On Violation,2017
194200084,The Rural Education and Sports Development Association,Manipur,On Violation,2017
83780487,Power,Maharashtra,On Violation,2017
194130315,The Centre for Social and Cultural Development,Manipur,On Violation,2017
83780484,Bhav Vardhan Trust,Maharashtra,On Violation,2017
94420534,Padmabhushan Dr. MC Modi Public Trust,Karnataka,On Violation,2017
75820385,BHARATH GYAN,Tamil Nadu,On Violation,2017
83720082,District Probation & Affter Care Association,Maharashtra,On Violation,2017
75980211,Hope For The Oppressed,Tamil Nadu,On Violation,2017
147120790,Naba Niharika,West Bengal,On Violation,2017
76080140,Kamaraj Educational Trust,Tamil Nadu,On Violation,2017
10220242,RAJA GLOBAL FOUNDATION,Telangana,On Violation,2017
10190194,Needs Serving Society,Andhra Pradesh,On Violation,2017
75900118,Centre For Development,Tamil Nadu,On Violation,2017
31290093,Jibachh-Yamuna Sangam,Bihar,On Violation,2017
63470004,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalay,Madhya Pradesh,On Violation,2017
63310069,Christian Educational Society,Madhya Pradesh,On Violation,2017
10270094,Arunodaya Mahila Mandali,Andhra Pradesh,On Violation,2017
136690063,Jamia Falah E Darain Society,Uttar Pradesh,On Violation,2017
41910408,Chuwal Gram Vikas Trust,Gujarat,On Violation,2017
10260294,Society of Hebran Evangelical Churches,Andhra Pradesh,On Violation,2017
52910215,Sarojini Naidu Mahila Samajam,Kerala,On Violation,2017
104890093,Jatiy Yubak Sangh,Orissa,On Violation,2017
75940550,SARVODAYA TRUST,Tamil Nadu,On Violation,2017
147110794,Basudev Smrity Sangha,West Bengal,On Violation,2017
41960164,INSTITUTE OF HOTEL MANAGMENT EDUCATION AND TRAINING,Gujarat,On Violation,2017
75900652,Mr.omayal Achi Mr. Arunachalam Trust,Tamil Nadu,On Violation,2017
231660765,Frontline Human Welfare Society,Delhi,On Violation,2017
75901248,REHOBOTH EDUCATIONAL TRUST,Tamil Nadu,On Violation,2017
10330164,Viveka Educational Society,Andhra Pradesh,On Violation,2017
125610066,Shri Dayalu Gau jeav jan parmarth seva sansthan Kherapa,Rajasthan,On Violation,2017
94420464,Chetna Womens Voluntary Organisation,Karnataka,On Violation,2017
42090129,Aman Charitable Trust,Gujarat,On Violation,2017
231660763,Global HydroGeological Soulutions,Delhi,On Violation,2017
31140011,Nehru Seva Sadan,Bihar,On Violation,2017
94440058,"SAMARPANA Non- Government Voluntary Organisation, Ramdurg",Karnataka,On Violation,2017
194130383,The Community Welfare Development Association,Manipur,On Violation,2017
137280022,Manav Utthan Samiti,Uttar Pradesh,On Violation,2017
10300040,Rural Education & Agricultural Development Society,Telangana,On Violation,2017
10260134,Bapuji Integrated Rural Development Society,Andhra Pradesh,On Violation,2017
63450010,Community Action through Motivation Programme,Madhya Pradesh,On Violation,2017
63140009,Society for Rural Upliftment,Madhya Pradesh,On Violation,2017
10220009,Crawoford Memorial Hospital,Telangana,On Violation,2017
136440110,BABA JANGI LAT KUST SEWA SANSTHAN,Uttar Pradesh,On Violation,2017
10190089,Rotary Health Service China Kota,Andhra Pradesh,On Violation,2017
136250054,Shree Bhawanand Balika Mahavidyala siksha Samite,Uttar Pradesh,On Violation,2017
231650035,Delhi Symphony Society,Delhi,On Violation,2017
76040211,Vulnerable People's Development Society,Tamil Nadu,On Violation,2017
194130009,Rural Development Organisation,Manipur,On Violation,2017
147040553,Dakshin Kalamdan Matri Sangha,West Bengal,On Violation,2017
194130006,Manipur Adult Education Association,Manipur,On Violation,2017
137270018,ARPAN GRAMODHYOG SEWA SANSTHAN,Uttar Pradesh,On Violation,2017
182510008,Simla Sanitorium and Hospital,Himachal Pradesh,On Violation,2017
136420048,Ahmad Shiksha Sansthan Praband Samiti,Uttar Pradesh,On Violation,2017
147110363,Jogendra Mohila Samity,West Bengal,On Violation,2017
104970026,Sahadapur Santi Yubak Sangha,Orissa,On Violation,2017
76010187,CHINNAMMAL EDUCATIONAL TRUST,Tamil Nadu,On Violation,2017
147040257,Milan Mandir Club & Pathagar,West Bengal,On Violation,2017
104830204,Bose Scientific Technological Socio Cultural Organisation,Orissa,On Violation,2017
147040148,Porachingra Vivekananda Pathagar,West Bengal,On Violation,2017
136220016,Narayan Krishna Sewa Sansthan,Uttar Pradesh,On Violation,2017
105050022,Ashrya,Orissa,On Violation,2017
115210004,St. Francis Church of Amritsar,Punjab,On Violation,2017
104840072,Nirvar,Orissa,On Violation,2017
83781212,THIRANI CHARITY TRUST,Maharashtra,On Violation,2017
10220204,Nikhil Economical Educational Development Society,Telangana,On Violation,2017
75900622,Maharaja Educational Trust,Tamil Nadu,On Violation,2017
52960019,Sreeniketan Centre for Social Development,Kerala,On Violation,2017
20820021,Nizara Sanskritic Samaj Kalyan Sangh,Assam,On Violation,2017
147120786,Missione Calcutta,West Bengal,On Violation,2017
75890233,Annai Vailankannai Trust,Tamil Nadu,On Violation,2017
31170367,Ambapali Hastkargha Avam Hastshilp Vikas,Bihar,On Violation,2017
75820208,Social Service Society (sveesha),Tamil Nadu,On Violation,2017
94610020,Social Education & Vocational Association,Karnataka,On Violation,2017
147050057,Madrasah Tablig-E- Deen,West Bengal,On Violation,2017
94420396,Karnataka Rural Development Service Centre,Karnataka,On Violation,2017
10310034,Telugu Baptist Women's Convention,Andhra Pradesh,On Violation,2017
83990033,Shejar Chhaya,Maharashtra,On Violation,2017
75890254,Annai Theresa Health And Rural Development Association,Tamil Nadu,On Violation,2017
83980020,Josephine Kindergarton Practsing School,Maharashtra,On Violation,2017
83910141,SHIV CHHATRAPATI SHIKSHAN SANSTHA,Maharashtra,On Violation,2017
10230714,Prabhu Health & Educational Rural Development Society,Telangana,On Violation,2017
83860015,Mary Wanless Hospital,Maharashtra,On Violation,2017
194190007,Kumbi Khullalpam Leikai Womens Association,Manipur,On Violation,2017
194200069,Rural Development Women Organisation,Manipur,On Violation,2017
83820009,District Probation & After Care Association,Maharashtra,On Violation,2017
75850086,Womens Development Association,Tamil Nadu,On Violation,2017
152740002,Social Welfare Of India,Jammu & Kashmir,On Violation,2017
76040082,Tamilnadu Pengal Nala Sangam,Tamil Nadu,On Violation,2017
75900535,Dr. Annie Besant Mahalir Mandiram,Tamil Nadu,On Violation,2017
83781211,MARIAMBAI AND HAJEE NOOR MOHAMED NOORANI FOUNDATION,Maharashtra,On Violation,2017
10140177,Sravanthi,Andhra Pradesh,On Violation,2017
75900423,Socio Economic & Educational Trust,Tamil Nadu,On Violation,2017
147110295,Paribesh Chetana,West Bengal,On Violation,2017
52910103,Cranthy Mahila Samajam,Kerala,On Violation,2017
52850024,Missionary Society Of St.francis Xavier,Kerala,On Violation,2017
83781210,PAL RAJENDRA EDUCATIONAL TRUST,Maharashtra,On Violation,2017
42000046,Degam Muslim Association,Gujarat,On Violation,2017
31360006,Indian Institute of Rural Development,Bihar,On Violation,2017
10340005,Appropriate Reconstruction Training and Information Centre,Andhra Pradesh,On Violation,2017
84080007,MONIS E MILLAT MINORITY EDUCATION AND SOCIAL WELFARE SOCIETY,Maharashtra,On Violation,2017
10230346,Self Employed Welfare Society,Telangana,On Violation,2017
10190140,Kandrika Mahila Mandali,Andhra Pradesh,On Violation,2017
10190152,Socio-Educational & Rural Development Society,Andhra Pradesh,On Violation,2017
10140016,Jagriti,Andhra Pradesh,On Violation,2017
147110869,NARAYANPUR EDUCATIONAL WOMEN SOCIETY,West Bengal,On Violation,2017
10120070,Ananta Vikalangula Samkshema Seva Samiti,Andhra Pradesh,On Violation,2017
147110155,Seba Co-op Health Society Ltd,West Bengal,On Violation,2017
83781209,CARE MEDICAL AND RESEARCH FOUNDATION,Maharashtra,On Violation,2017
304330008,Social Guidance Agency,Mizoram,On Violation,2017
10120261,Sri Sai Durga GR Swamy Ashramam,Andhra Pradesh,On Violation,2017
231650862,National Illness Assistance Fund,Delhi,On Violation,2017
136460006,Madarsaq Riyazul Islam,Uttar Pradesh,On Violation,2017
231650837,Co-ordinating Voluntary Adoption Resource Agency,Delhi,On Violation,2017
172370004,Chaubisee Vikas Sangh,Haryana,On Violation,2017
136380072,GAURISH SHANTIFOUNDATION,Uttar Pradesh,On Violation,2017
147120278,The Indian Music Industry,West Bengal,On Violation,2017
136440002,Uttar Pradesh Kambal Bunkar Vikas Seva Samiti,Uttar Pradesh,On Violation,2017
147000136,Belari Samaj Kalyan Samiti,West Bengal,On Violation,2017
10190433,SRI VIJAYA LAKSHMI INTEGRATED RURAL DEVELOPMENT SOCIETY,Andhra Pradesh,On Violation,2017
146940030,Central Scheduled Caste & Tribal Welfare Association,West Bengal,On Violation,2017
136650002,Mahila Kalyan Samiti,Uttar Pradesh,On Violation,2017
31170400,DR B R AMBEDKAR HARIJAN KALYAN PARISHAD,Bihar,On Violation,2017
136590020,Bharatiya Nirbal Samaj Sewa Sansthan,Uttar Pradesh,On Violation,2017
105020176,"Orissa Socio.economic,dev. Association",Orissa,On Violation,2017
75960135,Indian Art And Cultural Academy,Tamil Nadu,On Violation,2017
136320011,Groupious Social Welfare Society,Uttar Pradesh,On Violation,2017
136320001,Lois Lee Parker Girls Hostel,Uttar Pradesh,On Violation,2017
125560027,Full Gospel Church,Rajasthan,On Violation,2017
231660903,INDIAN ALCOHOL POLICY ALLIANCE,Delhi,On Violation,2017
94421385,Ranjini Kalakendra,Karnataka,On Violation,2017
76030326,DHARMAPATHI SRI ETEZUTHU PERUMAL DHARMASTAPANA ARAKATTALAI,Tamil Nadu,On Violation,2017
136230181,POONAM SEWA SANSTHAN,Uttar Pradesh,On Violation,2017
10180229,Society for Environmental and Economically Development ( SEED),Andhra Pradesh,On Violation,2017
104860085,Sarbodaya Seva Samiti,Orissa,On Violation,2017
94590194,Community Development Foundation,Karnataka,On Violation,2017
104890154,Suraj Integrated Voluntary Agency (SIVA),Orissa,On Violation,2017
104860161,IEDC (INTEGRATED ENTREPRENEURSHIP DEVELOPMENT CENTRE,Orissa,On Violation,2017
94420431,Aid the Weaker Trust,Karnataka,On Violation,2017
83770053,ADARSH GRAMIN VIKAS SEVA BHAVI SANSTHA,Maharashtra,On Violation,2017
105110017,Satyabratta Kala Kendra,Orissa,On Violation,2017
147110857,KACHUBERIA WOMEN SAHAYAK SOCIETY,West Bengal,On Violation,2017
137230020,Tasadduque Husain Muslim Educational Society,Uttar Pradesh,On Violation,2017
63540002,"The Board Of Community Health Employment Relief,rural Development & Agriculture",Madhya Pradesh,On Violation,2017
83960082,Krishnakath Krushi Sanshodhan Aani Gramin Vikas Pratishathan,Maharashtra,On Violation,2017
10230824,VAJRAMANI KAILASAM EDUCATIONAL SOCIETY,Telangana,On Violation,2017
136530101,Mahila Kalyan Evam Vidhya Vikas Sewa Samiti,Uttar Pradesh,On Violation,2017
31170095,Society for Peoples Education and Entrepreneurship Development,Bihar,On Violation,2017
125540014,search sewa sansthan,Rajasthan,On Violation,2017
10190430,RAJIV HARIJANA KRAISTAVA SANGHAM,Andhra Pradesh,On Violation,2017
83970049,"Kai.Sou.Meenatai jadhacv Dnyan Prabodhni Trust,Dudhondi",Maharashtra,On Violation,2017
10190153,Noblemens Voluntary Organisation for Helping Rural & Urban Poor,Andhra Pradesh,On Violation,2017
337770008,HUMAN WELFARE AND EDUCATIONAL FOUNDATION,Jharkhand,On Violation,2017
136470080,Shiva Auodigik Vikas seva Sansthan,Uttar Pradesh,On Violation,2017
136840005,SADHANA SEWA SANSTHAN,Uttar Pradesh,On Violation,2017
136530100,PraKash Shikshan Evam Samaj Sevi Sansthan,Uttar Pradesh,On Violation,2017
136720036,Sewa Bhawna Mission,Uttar Pradesh,On Violation,2017
206150031,AKHANDA,Tripura,On Violation,2017
10140179,Health Education & Agriculture Development Society,Andhra Pradesh,On Violation,2017
337700033,PAUDHOKA ASPATALIYA PRASIKCHAN KENDRA SAH SAMAGRA VIKAS SEVA SANSTHA,Jharkhand,On Violation,2017
10140125,Health & Rehabilitation Centre for Mentally Retarded & Leprosy,Andhra Pradesh,On Violation,2017
10140116,Society of Science & Technology & Rural Development,Andhra Pradesh,On Violation,2017
10120030,Rural Organisation & Social Education Society,Andhra Pradesh,On Violation,2017
271830056,Farrica DaigreJa De Arambol,Goa,On Violation,2017
231650362,Millat Girls Public School,Delhi,On Violation,2017
194130003,Citizen Volunteers Training Centre,Manipur,On Violation,2017
182510001,St. Beds College,Himachal Pradesh,On Violation,2017
147060040,Bhagirathi Shilpasram,West Bengal,On Violation,2017
147040313,Kultha Jagannathchak Baslkuli Seva Sangh,West Bengal,On Violation,2017
136500005,Adarsh Jan Seva Sansthan,Uttar Pradesh,On Violation,2017
83960097,VISHWABALA SAMAJIK BAHUUDDESHIYA SEVABHAVI SANSTHA,Maharashtra,On Violation,2017
136440029,Pawahari Shirti,Uttar Pradesh,On Violation,2017
147060098,LOK SEVA SHIBIR,West Bengal,On Violation,2017
105020087,Awareness,Orissa,On Violation,2017
83730030,MATOSHRI KRIDA YUVAK VYAYAM AND SHIKSHAN PRASARAK MANDAL,Maharashtra,On Violation,2017
146990111,MUKTARPUR SOCIAL WELFARE SOCIETY,West Bengal,On Violation,2017
10330169,The Living Evangelical Fellowship,Andhra Pradesh,On Violation,2017
136720013,Amethi Mahila Swaichik Sewa Samiti,Uttar Pradesh,On Violation,2017
10190417,JAYABHERI YUVAJANA SEVA SANGHAM,Andhra Pradesh,On Violation,2017
136520015,Jhansi Childrens Home,Uttar Pradesh,On Violation,2017
10270243,Pilgrims on Earth Ministries,Andhra Pradesh,On Violation,2017
136520005,St Jude Social Welfare Centre,Uttar Pradesh,On Violation,2017
75950035,VOICE,Tamil Nadu,On Violation,2017
136550131,Yuva Manch,Uttar Pradesh,On Violation,2017
10270284,MG Charities,Andhra Pradesh,On Violation,2017
136210016,Holman Institute,Uttar Pradesh,On Violation,2017
94421342,Kesari Trust,Karnataka,On Violation,2017
115310003,Patiala District of Delhi,Punjab,On Violation,2017
75940538,NESTLE FOUNDATION,Tamil Nadu,On Violation,2017
105020129,Jay Jagannath Club,Orissa,On Violation,2017
75840109,BACKWARD EDUCATION HEALTH AND GENERAL WELFARE ORGANISATION,Tamil Nadu,On Violation,2017
31340112,GRAMIN VIKAS KENDRA,Bihar,On Violation,2017
83970001,Bhartiya Bhatake Vimukt Development And Research Institute,Maharashtra,On Violation,2017
104830256,JAGANNATH SEVA SANGATHAN (JSS),Orissa,On Violation,2017
76040033,Community Rehabilitation Organisation,Tamil Nadu,On Violation,2017
347920036,Nav Jyoti Sewa Samiti,Uttarakhand,On Violation,2017
75890075,Rural Education & Action For Development,Tamil Nadu,On Violation,2017
83720130,SEVA,Maharashtra,On Violation,2017
63300069,Bal Niketan Sangh,Madhya Pradesh,On Violation,2017
42040137,Jivan Prakash Trust,Gujarat,On Violation,2017
63280001,Ashim Jyoti Sanskritik Shiksha Parishad,Madhya Pradesh,On Violation,2017
31380005,Nagar Yuva Vikas Sangh,Bihar,On Violation,2017
83910122,Gramin Lok Kalyan Mandal,Maharashtra,On Violation,2017
41910210,Apang Manave Mandal,Gujarat,On Violation,2017
75930034,People Welfare Devlopment Society,Tamil Nadu,On Violation,2017
31100003,Chotanagpur Yuva Chetana,Bihar,On Violation,2017
104830254,KASTURI,Orissa,On Violation,2017
31170054,Akhil Bhartiya Silp Kala Sikshan Prasik,Bihar,On Violation,2017
10270241,DIVYA EDUCATIONAL SOCIETY,Andhra Pradesh,On Violation,2017
10230079,Islamic Centre for Indian Minorities Studies,Telangana,On Violation,2017
10230068,Centre for Promoters of Rural Development,Telangana,On Violation,2017
20620016,People for Environment And Community Empowerment,Assam,On Violation,2017
10190134,Indira Mahila Mandali,Andhra Pradesh,On Violation,2017
31040035,VAISHALI GRAMIN VIKAS EVAM KALYAN SANGATHAN RAMPUR NAUSAHAN,Bihar,On Violation,2017
10160145,Samaj Vikas (Community Development Society),Andhra Pradesh,On Violation,2017
94540073,Amreen Samaj Seva and Vidya Vardhak Sangh,Karnataka,On Violation,2017
20680004,Baba Shahab Dr B R Ambedkar Society,Assam,On Violation,2017
10120086,Gramabhyudaya Sevak Sangham,Andhra Pradesh,On Violation,2017
136300034,VASUNDHRA VIKAS SAMITI,Uttar Pradesh,On Violation,2017
182450017,St. Pauls High School,Himachal Pradesh,On Violation,2017
83930593,Shri Apang Vikas Mandal,Maharashtra,On Violation,2017
83840033,SHRI GAJANAN SPORTS AND BAHUUDDESHIYA SANSTHA,Maharashtra,On Violation,2017
147120348,St. Thomas School Non-formal Training,West Bengal,On Violation,2017
136440102,Manav Vikas Sawa Samiti,Uttar Pradesh,On Violation,2017
147120165,Lakshmi Charity Trust,West Bengal,On Violation,2017
231661401,DALIT SEWA KENDR,Delhi,On Violation,2017
10120266,SRISAI PRASANTHI EDUCATIONAL SOCIETY,Andhra Pradesh,On Violation,2017
337820045,Tribal Social Development Society,Jharkhand,On Violation,2017
147110105,Indranarayanpur Mathagini Mahila Samiti,West Bengal,On Violation,2017
327540044,SURGUJA GRAMIN JANKALYAN VIKAS SAMITI,Chhattisgarh,On Violation,2017
30910010,NILMANI SEVA SANSTHAN,Bihar,On Violation,2017
83781168,PARTNERS OF BIBLE GOSPEL MINISTRIES TRUST,Maharashtra,On Violation,2017
63310076,SHREE MAA CHETNA KENDRA,Madhya Pradesh,On Violation,2017
63160200,Vikas Kendra Samiti,Madhya Pradesh,On Violation,2017
104830252,JANA JAGARANA,Orissa,On Violation,2017
10180187,Navabharathi Educational Academy,Andhra Pradesh,On Violation,2017
147110915,MOMINPUR SOCIAL WELFARE SOCIETY,West Bengal,On Violation,2017
10140443,Madanapalle Lions Service Trust,Andhra Pradesh,On Violation,2017
83750085,Madarsa Arebia Kashif Ul Uloom,Maharashtra,On Violation,2017
147040576,Madhakhali Students Club,West Bengal,On Violation,2017
94640070,Hellen Keller Intigrated Education Society,Karnataka,On Violation,2017
84060018,JANKALYAN GRAMIN VIKAS MANDAL KASABE TADWLE,Maharashtra,On Violation,2017
83720171,EKTA GRAMVIKAS MANDAL,Maharashtra,On Violation,2017
104830142,Centre for Information Technology & Networking,Orissa,On Violation,2017
136440045,Purwanchal Social Development Society,Uttar Pradesh,On Violation,2017
10190327,Telugu Bharathi Mahila Mandali,Andhra Pradesh,On Violation,2017
75970123,EDU CARE INDIA,Tamil Nadu,On Violation,2017
76080152,M DURAI EDUCATIONAL TRUST,Tamil Nadu,On Violation,2017
10310188,Sahridaya Physically Handicapped Samaj,Andhra Pradesh,On Violation,2017
10270171,Social Agricultural General and Rural Society,Andhra Pradesh,On Violation,2017
20780120,DISTRICT PHYSICALLY HANDICAPPED ASSOCIATION,Assam,On Violation,2017
231660505,The Biblio Charitable Trust,Delhi,On Violation,2017
75901336,ANAITHUM PADAITHAVARIN KARUNAI SAMADANA ULAGAM,Tamil Nadu,On Violation,2017
337830009,Samagra Seva Ashram,Jharkhand,On Violation,2017
30940010,Parijat,Bihar,On Violation,2017
31380016,Manav Sarvangin Vikash,Bihar,On Violation,2017
20820062,DE NOVO,Assam,On Violation,2017
76040340,Peniel Educational Trust,Tamil Nadu,On Violation,2017
75901005,Human Development Foundation,Tamil Nadu,On Violation,2017
337690011,JEEVAN,Jharkhand,On Violation,2017
83980052,Shri Sadguru Samarth Bavani Maharaj Sanstha,Maharashtra,On Violation,2017
20780141,SHRUTI,Assam,On Violation,2017
42090119,Dhaurvpath Trust,Gujarat,On Violation,2017
75840076,The Dalit Christians Educational and Development Trust,Tamil Nadu,On Violation,2017
10360089,Society for People Advancement and Community Education,Telangana,On Violation,2017
83890087,MATOSHRI PRATISHTHAN NANDED,Maharashtra,On Violation,2017
10370058,Vegavathi Educational Society,Andhra Pradesh,On Violation,2017
147120845,MATRI MANDIR ORGANISATION FOR VOLUNTARY EFFORTS,West Bengal,On Violation,2017
337670004,Welfare Point,Jharkhand,On Violation,2017
147120683,Paschimbanga Bangla Akademi,West Bengal,On Violation,2017
75980255,Rural Educationalm Development Associaition,Tamil Nadu,On Violation,2017
10140352,Praja Seva Samithi for Rural Human Resources Development,Andhra Pradesh,On Violation,2017
63180013,Mateswari jan kalyan samiti,Madhya Pradesh,On Violation,2017
83760029,Azad Bahuuddeshiya Shikshan Society Barvha,Maharashtra,On Violation,2017
10300073,Veda Grace Ministries,Telangana,On Violation,2017
105020288,Institute of National Educational And Social Development,Orissa,On Violation,2017
136440097,PURVANCHAL VIKAS SAMITI,Uttar Pradesh,On Violation,2017
10160366,The Rayalaseema Voluntary Agencies Network Consortium Organisation,Andhra Pradesh,On Violation,2017
20770006,Jamia Islamia Salafia Education Society,Assam,On Violation,2017
10140351,Rural Awareness Society,Andhra Pradesh,On Violation,2017
136440096,MOULANA HUSSAIN AHMAD MADNI EDUCATIONAL AND WELFARE SOCIETY,Uttar Pradesh,On Violation,2017
75850315,Eethal Charitable Trust,Tamil Nadu,On Violation,2017
164730080,Development Action Network,Nagaland,On Violation,2017
136720042,KURUOM JANKALYAN SANSTHAN,Uttar Pradesh,On Violation,2017
164760005,Hill Area Development Organisation,Nagaland,On Violation,2017
136490031,Sir Sayyed Educational Samiti,Uttar Pradesh,On Violation,2017
137340006,Azizia Human Welfare & Cultural Society,Uttar Pradesh,On Violation,2017
31170289,Samaj Kalyan Parishad,Bihar,On Violation,2017
94640092,SRI HARSHITHA VIDYA MATTU GRAMEENABHIVRUDDI SAMSTHE,Karnataka,On Violation,2017
63300121,ANANT JEEVAN SEWA EVAM SHODH SAMITI,Madhya Pradesh,On Violation,2017
41950032,Suryoday Education and Charitable Foundation Trust,Gujarat,On Violation,2017
136550383,Shri Sidya Vinayak Shikshan Sansthan,Uttar Pradesh,On Violation,2017
42080103,SHREE JAY PARSHURAM RACHNATMAK SEVA SAMEETI,Gujarat,On Violation,2017
147111089,MOTHER INDIA KALAYAN TRUST,West Bengal,On Violation,2017
285130088,Pondicherry University,Pondicherry,On Violation,2017
94421489,SRI BHAGAVATHI EDUCATION AND RURAL DEVELOPMENT TRUST,Karnataka,On Violation,2017
194130430,SANGAI FOUNDATION,Manipur,On Violation,2017
125600014,Nand Lal Samdhaniya Lok Kalyan Sanasthan,Rajasthan,On Violation,2017
327500011,Nari Manch,Chhattisgarh,On Violation,2017
94440125,Shivaji Shikshan Prasarak Mandal,Karnataka,On Violation,2017
104820107,Centre for Rural Development and Research,Orissa,On Violation,2017
76040411,MANKIND ENLIGHTENMENT LOVE TRUST,Tamil Nadu,On Violation,2017
10360084,Calina Mary Charity Organisation,Telangana,On Violation,2017
194130428,IKON FOUNDATION,Manipur,On Violation,2017
214240015,Nam-Rhen Association,Meghalaya,On Violation,2017
136440040,Gramin Yuva Vikas Samiti,Uttar Pradesh,On Violation,2017
115230009,HIS HOLINESS SANT BABA NAHAR SINGH JI SUNHERAN WALE CHARITABLE SOCIETY,Punjab,On Violation,2017
194140054,Eden Resource Home,Manipur,On Violation,2017
136250038,Viklang Seva Samiti,Uttar Pradesh,On Violation,2017
94640068,Grama Jeevan Rural Education Trust,Karnataka,On Violation,2017
136420052,Govind Sewa Samiti,Uttar Pradesh,On Violation,2017
75930013,Women Development Society,Tamil Nadu,On Violation,2017
94680010,Lions Charitable Trust,Karnataka,On Violation,2017
76040390,SANTIAGU CHARITABLE TRUST,Tamil Nadu,On Violation,2017
10230769,CARE FOR CHILDREN MINISTRY,Telangana,On Violation,2017
125420030,Samriti Samaj Kalyan Sansthan,Rajasthan,On Violation,2017
147000174,Central Interreligious Pool of Developmental Association,West Bengal,On Violation,2017
41990067,Shree Nikora Pragati Mandal,Gujarat,On Violation,2017
285150006,World Hands of Youth,Pondicherry,On Violation,2017
10140434,MADEENA MAHILA MANDALI,Andhra Pradesh,On Violation,2017
41910309,Shri Sambhavnath Swami Jain Foundation,Gujarat,On Violation,2017
52910361,SANTHI MANDIRAM,Kerala,On Violation,2017
83780960,Siddharth Agricultural Industrial and rural Development Foundation,Maharashtra,On Violation,2017
125570012,THAR SAMEKIT SAMAJIK VIKAS SOCIETY,Rajasthan,On Violation,2017
75900970,Abraham Thankammal Memorial Trust,Tamil Nadu,On Violation,2017
10310254,Bethel Evangelical Apostlic Ministries,Andhra Pradesh,On Violation,2017
84060026,Chitamber Bahuudeshiya Sevabhavi Sanstha,Maharashtra,On Violation,2017
104880005,Swami Jibananda Brahmachari Badhita Kalyan Institution,Orissa,On Violation,2017
10180241,Karunasri Charitable Trust,Andhra Pradesh,On Violation,2017
76030335,ST.ANNAI THERESA WELFARE ORGANISATION,Tamil Nadu,On Violation,2017
52910318,Nava Dersini Mahila Samajam,Kerala,On Violation,2017
136380049,Indian Society for Human & Rural Advancement,Uttar Pradesh,On Violation,2017
310580003,Hamare Hayang Memoral Agro Industry and Educational Trust,Arunachal Pradesh,On Violation,2017
231661328,GYANODHAM,Delhi,On Violation,2017
147040508,Jakpur Welfare Society,West Bengal,On Violation,2017
136550387,udbhav sewa sanathan,Uttar Pradesh,On Violation,2017
10120211,Society for Rural Integrated Development,Andhra Pradesh,On Violation,2017
104970061,COSMOPOLITAN CLUB,Orissa,On Violation,2017
104890147,JIBANJYOTI WELFARE ASSOCIATION FOR MENTALLY AND PHYSICALLY HANDICAPPED,Orissa,On Violation,2017
42050081,Shree Bhujpur Jain Murtipujak Sangh,Gujarat,On Violation,2017
