State,Reg No,Association,Address,Nature
Karnataka,94420175,All India Catholic Union,"13, 3rd Main Road Vasanthanagar (E), Bangalore-560052","Religious(Christian) ,"
Karnataka,94420184,Society of the Sisters of St. Anne,"St Annes Generalate 2 Miller Road, Bangalore-560052","Religious(Christian) ,Social "
Karnataka,94420189,Sisters of St. Anne,"St. Anne's Convent 3 Miiller Road, Bangalore-560052","Religious(Christian) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94420191,Association for the Care of Mentally Handicapped,"Sneha Bhavan Kacharkanahalli, St. Thomas Town Bangalore-560084","Educational ,Social "
Karnataka,94420225,Deva Matha Health Centre,"376/75-75 Bangalore, -560005","Religious(Others) ,Educational ,"
Karnataka,94420244,St.Teresa's Novitiate,"Whitefield, Bangalore-560066","Religious(Christian) ,Educational ,Social "
Karnataka,94420251,St.John's Church - Church Of South India,"132, St.John's Church Road, Cleveland Town, Bangalore-560005","Religious(Christian) ,Educational ,Social "
Karnataka,94420275,St. Teresa's Generalate,", Bangalore-","Religious(Christian) ,"
Karnataka,94420285,A.R. Adaikappa Chettier Charities Trust,"48, Levelle Rod., Bangalore -560001","Educational ,"
Karnataka,94420288,San Thome Study House,"PO Halimavu, Bangalore -560076","Religious(Christian) ,Educational ,Social "
Karnataka,94420290,Moria Seva Sangha,"No.12, Rest House Road, Bangalore -560001",Social 
Karnataka,94420325,Family Welfare Centre,"No.- 21, Museum Road, Bangalore-560025","Religious(Christian) ,Educational ,"
Karnataka,94420342,Asaktha Poshaka Sabha,"No.26, APS Road, UV Puram, Bangalore -560004",Social 
Karnataka,94420347,India Theological Association,"29/4, 2nd Cross, Hutchins Road, Bangalore -560084","Religious(Christian) ,"
Karnataka,94420377,Emmanuel Church,"7/1, High Street Cross, Cooke Town-560005","Religious(Christian) ,"
Karnataka,94420378,Kodava Samaja,"Vasanthnagar East, Mangalore-560052",Social 
Karnataka,94420385,Church of South India Hospital,"No. 2, Colonel Hill Road, Bangalore -560051","Religious(Christian) ,Educational ,Social "
Karnataka,94420387,Marilac Study House,"PO S.O S Bannerghatta Road, Bangalore -560076","Religious(Christian) ,Educational ,Social "
Karnataka,94420398,The Multipurpose Industrial Coop Society,"13the Cross Old Bagalur Layout, Bangalore-560084","Economic ,Social "
Karnataka,94420434,Karnataka Baptist Sabhegaha Sanaila,"No.3, Anand Nagar Road, Hebbal-560024","Religious(Christian) ,Social "
Karnataka,94420458,Tribe Child Development Council,"282, (annexe), 17th Cross, Sadashivanagar-560080","Educational ,Social "
Karnataka,94420470,Immanuel Education Society,"67/241, , Nagavara-560045","Religious(Christian) ,Educational ,"
Karnataka,94420500,Tuikaiamau Village Development Trust,"45, Museum Road, Bangalore-","Religious(Christian) ,Educational ,Social "
Karnataka,94420506,Mathew Memorial Society,"122, Laxmana Murthy Nagar, P.O Ramamurthy Nagar, Bangalore-560016","Educational ,Social "
Karnataka,94420537,Anath Shishu Nivasa,"No.1- A, V Main Road, N.R.Colony, Bangalore-560019","Educational ,Social "
Karnataka,94420574,Abilities (Resource Centre for Disabled Person),"13-C, 5th Main Jayamahal Extension, Bangalore-560046",Social 
Karnataka,94420601,Al- Ameen Educational Society,"Al-Ameen Campus Hosur Road Near Lalbagh Main Gate, Bangalore Urban, 560027","Educational ,"
Karnataka,94420618,Malathesha Education Society,"M.e.s Convent, No 283, Canara Bank Colony-","Religious(Christian) ,Educational ,"
Karnataka,94420673,Divya Jyoti Vidya Kendra,"Vishwa Bld Chikkanna Layout, Sondeppa Circle Bangalore-562123","Educational ,"
Karnataka,94420692,Savitha Mahila Sangha,"No.3016, HAL IInd Stage, 12th B' Main, 5th Cross, Indiranagar Bangalore -560038","Economic ,Educational ,Social "
Karnataka,94420698,Citizens Action Group,"Jawan Colony BDA Park Indira Nagar , Bangalore -560038",Social 
Karnataka,94420705,Ghousia Industrial & Engineering Trust,"Hosur Road, Bangalore-560029","Educational ,"
Karnataka,94420712,Crescent Trust,"No.816, 1st Cross Vivekananda Nagar, Bangalore -560033",Social 
Karnataka,94420716,Development Support Trust,"56, Jalvayu Vihar, Kammanahalli, Main Road, Bangalore -560084",Social 
Karnataka,94420719,Dr. Jachami Rastriya Seve Peetha,"49, hb Samaja Road, Basavanagudi-",Social 
Karnataka,94420727,Om Shantidharma,"No.3371, 13th, cross 2nd Main, Shastrinagar, Bangalore -560028","Cultural ,Economic ,Educational ,Social "
Karnataka,94420743,Samaja Vikasa Kendra Trust,"227, 4th Main, Srinagar, Bangalore -560050","Cultural ,Economic ,Educational ,Social "
Karnataka,94420762,Bismillah Education Trust,"Bismillahnagar, Bangalore -560029","Educational ,"
Karnataka,94420772,Sri Shatha Shrunga Vidya Samethi,"Near Check Post, magagdi Main Road, Makakshipalaya, 2nd Stage-","Educational ,"
Karnataka,94420785,Parivarthan,"3788, 8th Cross, 12th Main, HAL 2nd Stage, Bangalore-",Social 
Karnataka,94420827,Ramakrishna Sharada Shakti Kendra,"No.1436, Ii Cross, Chandra Layout, Bangalore Karnataka-560040","Religious(Hindu) ,Social "
Karnataka,94420829,Asian Brotherhood Concern,"121, HIG, B2, No.86, Shirke Appts., Kenheri-560060","Religious(Christian) ,"
Karnataka,94420856,Centre for the Study of Culture and Society,"302, Pramoda No-70/1, Surveyors Street, Basavanagudi, 560004","Educational ,"
Karnataka,94420857,Chaitanya Mahila Mandali,"6/7, Ist Cross, 3rd Main Road, New Tharagupet-560002","Cultural ,Educational ,Social "
Karnataka,94420858,Yelahanka Vishwabharathi Welfare Society & Training Institute,"K.s.chandrasekhar, Shirkey, Mig-296, B Block, 19th, ist Floor, Iind Main-560064","Educational ,"
Karnataka,94420891,Pain Relief And You,"Centre For Objective Studies, 1st Floor Darus Salam Blg, right Win-560001",Social 
Karnataka,94420908,Samjoel Trust,"No.39, 111 Cross, Hutching Road, Bangalore-560084","Religious(Christian) ,Economic ,Educational ,Social "
Karnataka,94420911,Meenakshi Roof Over Roofless Trust,"G-6, emerald, wilson Manor Apartments, 13th Cross, wilson Garden-560027","Cultural ,Economic ,Educational ,Social "
Karnataka,94420916,Bharatha Swamukti Samsthe,"B-81, Industrial Estate, Rajajinagar, Bangalore-560044","Economic ,Social "
Karnataka,94420918,Liza's Home,"No.63, millers Road, Bangalore-560046","Economic ,Educational ,Social "
Karnataka,94420921,K.P.srikantaiah Memorial Multi Purpose Educational Trust,"M.g.road, kanakapura, Bangalore-562117","Cultural ,Economic ,Educational ,Social "
Karnataka,94420926,Hengasara Hakkina Sangha,"36 Ground Floor 11th A Main, 13 Cross 5th Block Jaynagar, 560041",Social 
Karnataka,94420929,Centre For Human Resource Development,"2223(341), 27th Cross, 10th 'a' Main, 3rd Block, Jayanagar-560011","Educational ,Social "
Karnataka,94420931,Shekinah Gospel Prayer Fellowship,"217/b, Vijanapura, Bangalore-560016","Economic ,Educational ,Social "
Karnataka,94420938,Social Workers Brotherhood,"No.2, deena Seva Sangha Road, Sheshadripuram, Bangalore-560020",Social 
Karnataka,94420967,R.t. Nagar Educational Trust,"K.h.m.block, Ganganagar, Bangalore City, Bangalore North-560032","Educational ,Social "
Karnataka,94420977,Parkinson's Disease Society of Karnataka,"No.633, 3rd Cross, H.M.T.Layout, , R.T. Nagar, Bangalore-560032",Social 
Karnataka,94420982,M/s Imdad-E-Nisa Trust,"No.32, Coles Road, Frazer Town, Bangalore, -560005","Educational ,Social "
Karnataka,94420986,Bangalore Eduucation Trust,"42/1, New No.87/1, 1 Main Road, , 4th Cross, Kodandaramapuram-560003","Educational ,Social "
Karnataka,94420993,Sapthami Trust,"No.30, 'Vrushaba', Astagrama layout, Bangalore, -560079",Social 
Karnataka,94421010,Aarding Charitable Childrens Education Service,"32A, 2nd Cross, Veera Sandra Industrial Area, Electronic City, Hosur Road, 560100","Educational ,"
Karnataka,94421082,Rural Development and Environmental Society,"# 3, Sree Venkateshwara Nilaya, 4th Cross, Kallappa Layout, -560092","Educational ,Social "
Karnataka,94421104,Shankara Foundation,"Shreeshyla, Doddakallasandra, Kanakapura Road-560062","Cultural ,Educational ,Social "
Karnataka,94421106,The Karnataka Network For People Living With HIV/AIDS,"# 113, I Floor, 8th Main, 15th Cross, Wilson Garden, Bangalore-560030",Social 
Karnataka,94421125,Zion Education and Social Trust,"No. 12/1, Coles Road, Frazer Town, Bangalore-560005","Religious(Christian) ,Economic ,Educational ,Social "
Karnataka,94421134,Zaheer Welfare Association,"No.7, Bellary Road, 5th Cross, Near Vegetable Market, Gangenhalli-560032","Educational ,Social "
Karnataka,94421196,Shifaa Health Foundation Trust,"119, (HKP) Broadway Road, Shivaji Nagar, Bangalore-560051","Economic ,Educational ,Social "
Karnataka,94421212,Smt. Jivibai Genmalji Solanki Charitable Trust,"# 23, 2nd Cross, near Ram Temple, Gandhinagar, Bangalore-560000",Social 
Karnataka,94421242,Indian Society for Advancement of Materials and Process Engineering,"AESI Building, Surajandas Road Jn., New Thippasandra, Bangalore-560075","Educational ,Social "
Karnataka,94421280,WAY TO LIFE CHARITABLE TRUST,"#1821, 30Th Ring Road Cross, HBR Layout, 5th Block, 1st Stage, Bangalore, BANGALORE, 560043","Cultural ,Economic ,Educational ,Social "
Karnataka,94421286,Akhila Bharath Sri Vasavi Penugonda Trust (R),"No.23/A, Serpentine Road, Kumara Park West, BANGALORE, 560020","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94421317,THE SHALOM PRAYER HOUSE,"No.10, 10TH CROSS, KULLAPPA CIRCLE, KAMMANAHALLI, BANGALORE, 560084","Religious(Christian) ,Economic ,Educational ,Social "
Karnataka,94421318,KARUNALAYA CHARITABLE TRUST,"NO.47, 1st A Cross, Papanna Layout, R.T. Nagar Post, V.Nagenahalli, Bangalore-32, BALANGALORE, 560032","Religious(Christian) ,"
Karnataka,94421332,"Association for Social Health in India, Karnataka","Abhayashrama, 4th Cross, Wilson Garden, Bangalore, 560027",Social 
Karnataka,94421350,INSTITUTE OF PUBLIC HEALTH,"250, Masters Cottage, 2nd C Cross, 2nd C Main, Girinagar I Phase, , Bangalore, 560085","Educational ,"
Karnataka,94421384,SOROPTIMIST INTERNATIONAL OF BANGALORE,"Care of Dr Nalini Subbaiah 516 1st Floor 5th Block Ranka Apartments Richmond Circle, Bangalore, 560027","Economic ,Educational ,Social "
Karnataka,94421398,Alliance Francaise of Bangalore,"P.B. No.108, Thimmaiah Road, Vasanthnagar, 560052","Cultural ,Educational ,"
Karnataka,94421410,Sri Nandi Education Trust,"No.387/1, Krishnappa Building, Rajagopalnagar Main Road, Peenya III Phase, Ganapathinagar, Bangalore, 560058","Cultural ,Economic ,Educational ,Social "
Karnataka,94421411,Lakshmi Rural Development Society,"No 329 MEI Layout Hesaragatta Main Road Bagalagunte Nagasadra Post, Bangalore, 560073","Cultural ,Economic ,Educational ,Social "
Karnataka,94421415,BERACHAH TABERNACLE MINISTRY,"14 6TH MAIN ROAD BEHIND YARRAMMA CHOWTRY MOHAN KUMAR NAGAR YESHWANTHPUR PO, BANGALORE, 560022","Religious(Christian) ,Educational ,Social "
Karnataka,94421418,KARNATAKA KAVERI EDUCATION AND CULTURAL SOCIETY,"No. 90/1 90/2 5th Cross Malleswaram, Bangalore, 560003","Cultural ,Economic ,Educational ,Social "
Karnataka,94421433,SRI RADHAKRISHNA EDUCATIONAL TRUST,"No 1062 7th A Main 3rd Block Koramangala, Bangalore, 560034","Cultural ,Economic ,Educational ,Social "
Karnataka,94421466,GOD OF COMPASSION MINISTRIES,"25 A Oil Mill Road Narayanappa street Lingarajapuram, Bangalore, 560084","Religious(Christian) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94421468,Mohsin Shariff Educational and Charitable Trust,"No 269 14th Cross CMH Road Indiranagar 2nd Stage, Bangalore, 560038","Educational ,Social "
Karnataka,94421478,SWATHI MAHILA SANGHA,"# 52, 4th Main, Postal Colony, Sanjay Nagar, Bangalore-560094, Bangalore, 560094",Social 
Karnataka,94421479,SOCIETY FOR THE AUTISTICS IN INDIA,"544 16A MAIN 3RD BLOCK KORAMANGALA, BANGALORE, 560034","Educational ,"
Karnataka,94421480,Rural Development institute,"No 1820 6th Cross Judicial Layout GKVK Po Yelhanka, Bangalore, 560065",Social 
Karnataka,94421486,SAMRAT ASHOK EDUCATIONAL SOCIETY,"306 SHAMBHAVI NAGAR MAIN ROAD LAGGERI PEENYA 2ND STAGE, BANGALORE, 560058","Cultural ,Economic ,Educational ,Social "
Karnataka,94421497,IIM BANGALORE 1992 BATCH WELFARE TRUST,"507 VARS FANTASY 1ST MAIN KODIHALLI, BANGALORE, 560008",Social 
Karnataka,94421507,KIDNEY CLINICS AND RESEARCH CENTERS INTERNATIONAL,"SRI GANESH NIVAS 630 62 CROSS V BLOCK RAJAJINAGAR, BANGALORE, 560010",Social 
Karnataka,94421510,People 4 People,"No.19, Regent Place, Whitefield Main Road, Bangalore, 560066","Cultural ,Educational ,"
Karnataka,94421515,GRAMOTHAN FOUNDATION,"38 MAINI SADAN 7TH CROSS LEVELLE ROAD, BANGALORE, 560001","Economic ,Social "
Karnataka,94421521,Sri sudharana Rural Development Organization,"Co Niketan consultants BSK Ist stage Srinivasa Nagar Bangalore 50, Bangalore, 560050","Religious(Others) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94421525,OVERSEAS WOMENS FOUNDATION BANGALORE,"NO 424 MAPLE B PRESTIGE GREENWOODS CV RAMAN NAGAR PO, BANGALORE, 560093","Economic ,Educational ,Social "
Karnataka,94421528,BIOCON FOUNDATION,"GLENMORE HUSKUR GATE Off 20TH KM HOSUR ROAD ELECTRONIC CITY, BANGALORE, 560100",Social 
Karnataka,94421529,IDL FOUNDATION,"No-28 opposite to Sriniket Apartment MSR Engineering College Road 1st cross Mathikere, Bangalore, 560054","Educational ,Social "
Karnataka,94421531,INDIAN MUSIC EXPERIENCE TRUST,"MLR Convention Center Brigade Millennium J P Nagar 7th Phase, Bangalore, 560078","Cultural ,Educational ,Social "
Karnataka,94421532,INSTITUTE FOR STEM CELL BIOLOGY AND REGENERATIVE MEDICINE inStem,"GKVK POST BAG NO 6506 BELLARY ROAD, BANGALORE, 560065","Educational ,"
Karnataka,94421533,GLOBAL LEADERSHIP MINISTRY TRUST,"No 274 3RD CROSS 1ST MAIN 1ST BLOCK JAKKASANDRA EXTENSION, KORAMANGALA, 560034","Religious(Christian) ,Educational ,Social "
Karnataka,94421534,Nisvartha Foundation,"15 Sri Shiva Nilaya 4th Main Link Road Madiwala Extn, Bangalore, 560068","Educational ,"
Karnataka,94421536,PEARL HEALTH AND EDUCATIONAL CHARITABLE TRUST,"21 1ST MAIN 1ST CORSS Giddamma Layout A Narayanapura Doorvani Nagar Post Bangalore 16, BANGALORE, 560016","Cultural ,Economic ,Educational ,Social "
Karnataka,94421537,J M EDUCATION AND CHARITABLE,"banglore, banglore, 560006","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94421539,BIRUR EDUCATIONAL FOUNDATION FOR CHILDREN,"7 20th MAIN III CROSS RAJAJI NAGAR 1st R BLOCK, BANGALORE, 560010","Educational ,Social "
Karnataka,94421540,BHARATIYA SEVA SAMSTHE,"363 7th Main Bhuvaneshwarinagar T Dasarahalli Bangalore, Bangalore, 560057","Cultural ,Educational ,Social "
Karnataka,94421543,HOSANNA OUTREACH MISSION EMPOWERMENT TRUST,"22 Byrathi Kanne New Kalayan Nagar Post Hennur Bande Bangalore, BANGALORE, 560043","Religious(Christian) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94421545,GOKULA EDUCATION FOUNDATION MEDICAL,"MSR NAGAR MSRIT POST MATHIKERE, BANGALORE, 560054","Educational ,"
Karnataka,94421547,STEPS Sustainable Technologies and Environment Protection Society,"No 127 Maruthi Complex Byadarahalli Bus Stop Vishwaneedam Post Magadi Main Road, Bangalore, 560091",Social 
Karnataka,94421552,Imamsabi Fathimabee Education Charitable Trust,"No 816 3 Main Chowdeshwari Layout Maratahalli Bangalore, Bangalore, 560037","Cultural ,Economic ,Educational ,Social "
Karnataka,94421555,SCHNEIDER ELECTRIC INDIA FOUNDATION,"NO 88 P SECOND FLOOR SAHASRASHREE STREET EPIP IND AREA NEXT TO VYDEHI HOSPITAL WHITEFIELD ROAD BANGALORE, Bangalore, 560066","Educational ,Social "
Karnataka,94421556,Vishwalaya,"Ravugodlu, Bolare Post, Kanakapura Road, Bangalore South, , Bangalore, 560082","Cultural ,Economic ,Educational ,Social "
Karnataka,94421558,Vishal Charitable Trust,"No. 1, Vagdhana Nilaya, Aravind Layout, Somashetti, Chikkabanavara Post, Bangalore, Bangalore, 560090","Educational ,Social "
Karnataka,94421562,END TIME GOSPEL TEAM OF INDIA,"NO 113 OPP S B STORES RAJENDRA NAGAR IV MAIN, BANGALORE, 560047","Religious(Christian) ,Educational ,Social "
Karnataka,94421563,Peer Water Exchange,"163 Laughing Waters Varthur Road Ramagondanahalli, Bangalore, 560066",Social 
Karnataka,94421564,Vishranthi Trust,"11th km Hoskote Malur Road Jadigenahalli Post, Bangalore, 562114","Economic ,Social "
Karnataka,94421565,SRI SRI SRI YOGEESHWARA SUBRAMANYANANDA CHARITABLE TRUST,"NO.11, HOSAKEREHALLY VILLAGE, BANASHANKARI III STAGE, , BANGALORE, 560085","Cultural ,Economic ,Educational ,Social "
Karnataka,94421567,SHRI TRIPURA SUNDARI LALITHAMBE TRUST,"NO.352, 57TH C CROSS, 3RD BLOCK RAJAJINAGAR, BANGALORE, 560010","Educational ,Social "
Karnataka,94421569,THE REFUGE FOUNDATION,"No.78/80, Anjanappa Layout, 1st Main, 2nd Cross, Kothanur Post, , Bangalore, 560077","Cultural ,Economic ,Educational ,Social "
Karnataka,94421572,THE FISHERMEN TRUST,"NO 31/2, 3RD CROSS, MOORE ROAD, FRAZER TOWN, BANGALORE, 560005","Cultural ,Economic ,Educational ,Social "
Karnataka,94421573,GLOBAL WELFARE MISSION FOUNDATION,"NO 14-3, 2ND MAIN CROSS, ITC COLONY, COX TOWN, JEEVANAHALLI, 560005","Religious(Christian) ,Economic ,Educational ,Social "
Karnataka,94421574,SWARGA NIDHI SEVA ASHRAM TRUST,"29 ANJANADRI 19TH CROSS KAGGADASPURA C V RAMAN NAGAR BANGALORE, BANGALORE, 560093","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94421576,TRINITY CARE FOUNDATION,"74, 4th Main, Viveknagar Extension, , Bangalore, 560047","Cultural ,Economic ,Social "
Karnataka,94421577,MANONANDANA TRUST,"No 1, 3RD MAIN ROAD, TATA SILK FARM, K. R ROAD, BANGALORE, 560004","Cultural ,Educational ,Social "
Karnataka,94421580,RADIANT LIFE CHARITABLE TRUST,"NO. 80/1 BYRATHI VILLAGE BIDARAHALLI HOBLI DUDDAGUBBI POST KOTHANUR, BANGALORE, 560077","Educational ,Social "
Karnataka,94421582,AYURVEDA ACADEMY REGD,"229-1 4TH MAIN 2ND CROSS CHAMARAJPET, BANGALORE, 560018","Educational ,Social "
Karnataka,94421583,Sankalp India Foundation,"460, GOKULA, 8th Main, 4th Block, Koramangala, , Bangalore, 560034",Social 
Karnataka,94421584,GOSPORTS FOUNDATION,"FIRST FLOOR, OORVE, NO. 60, MUNIMARAPPA ROAD OFF NANDIDURGA ROAD, BEHIND AIRTEL OFFICE, BANGALORE, 560046",Social 
Karnataka,94421585,Child Welfare Trust,"33/3, Dasappa Building, 3rd Cross, Devegowda Block, Audugodi, , Bangalore, 560030","Cultural ,Economic ,Educational ,Social "
Karnataka,94421586,YOGAATHMA FOUNDATION,"NO.16, BALAJI NIVAS MARUTH STREET RAMAMURTHYNAGAR, BANGALORE, 560016","Cultural ,Educational ,Social "
Karnataka,94421587,Vipassana Meditation and Research Center,"Alur Village, Bangalore, 562123","Educational ,"
Karnataka,94421588,IDIA CHARITABLE TRUST,"No.E-1/9, Hanumanthappa Layout, Off Ulsoor Road, Bangalore - 560042, Bangalore, 560042","Educational ,Social "
Karnataka,94421589,JUDE FELIX HOCKEY ACADEMY CHARITABLE TRUST,"No 68, 31 Doddaiah Layout, Jogupalya Halasuru, Bangalore, 560008",Social 
Karnataka,94421590,SA MUDRA FOUNDATION,"No 77 1st Floor Anugraha 13th cross Malleswaram, Bangalore, 560003",Social 
Karnataka,83930160,The Watch Tower Bible And Tract Society Of India,"927/1 Addevishwanathapura Rajanukunte, Bengaluru, 560064","Religious(Christian) ,Educational ,"
Karnataka,94370014,SRI VAISHNAVI SPECIAL EDUCATIONAL ACADEMY FOR MENTALLY CHALLENGED AND DISABLED,"27 RANGANATH LAYOUT HAROHALLI, KANAKPURA TALUK, 562112","Cultural ,Educational ,Social "
Karnataka,94421578,BARTIMAEUS RESOURCE CENTRE FOR VISUALLY IMAPIRED,"No.16/4, SVK Layout, Anagalapura, Dodda Gubbi, Bangalore 560 077, Bangalore, 560077","Educational ,"
Karnataka,94440002,Sherman Hostel,"Fair Field Mission Compound, Belgaum -590016","Educational ,"
Karnataka,94440007,The Rural Development Society,"At&PO Murgod, Tq: Saundatti, Belgaum, -591119",Social 
Karnataka,94440008,Baynon Smith High School,"Camp, Belgaum-","Religious(Christian) ,Educational ,"
Karnataka,94440010,Shri JG Cooperative Hospital,"Belgaum, Karnataka-",Social 
Karnataka,94440026,Khanapur Girls Home Trust,"PB No. 5 , Belgaum-591302","Religious(Christian) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94440032,Beynon Smith College of Physical Education.,"Club Road, Belgaum -","Educational ,"
Karnataka,94440035,Sawali,"1877, Joshi Galli Nipani, Belgaum-591273",Social 
Karnataka,94440036,Vimochana Sangha,"Athani-591304, Di Belgaum, Athani, 591304",Social 
Karnataka,94440038,Womens Multipurpose Co-op Society Ltd,"1877, Joshi Galli , Nipani-571237",Social 
Karnataka,94440045,The Rural Education Society,"Vidhyarannya Bhavan, , Opp J.g. Co. Hospital, Ghataprabha-591321","Educational ,"
Karnataka,94440047,Chetan Organisation,"Ammanagi, Hukkerim, Belgaum-",Social 
Karnataka,94440052,Pragna,"BC-75, Jamalpuu Road Camp, Belgaum-590009",Social 
Karnataka,94440053,Fransalian Adarsh Balbhawan Trust,"Kakkeri, Belgaum-590106","Cultural ,Economic ,Educational ,Social "
Karnataka,94440054,Sarvakagatik Virakt Math,"Toarangatti, PO Ramdurg, Tq., Belgaum -591114","Educational ,Social "
Karnataka,94440061,The Rural Education and Agricultural Development. Society,"Asare Building, Near Water Tank, Court Circle, Hukkeri, Belgaum-591309","Economic ,Educational ,Social "
Karnataka,94440065,Minorities Educational and Charitable Trust,"1st Cross Nehru Nagar, Belgaum-590010","Educational ,Social "
Karnataka,94440069,Kastakala Rural Handicraft Development Association Of Hirebu,"At/po-hirebudnur, Belgaum-591119","Economic ,Social "
Karnataka,94440084,Rural Development Society,"Kalmeswar Circle, Jain Basadi Road, Ganiger Blg.Mudalagi-591312","Cultural ,Economic ,Educational ,Social "
Karnataka,94440085,Rural Educational Development Society,"No.1175, Hukkeri, Belgaum-591309","Cultural ,Economic ,Educational ,Social "
Karnataka,94440095,Shri Gomatesh Education Society,"Ankali, Belgaum-591213","Educational ,"
Karnataka,94440100,Vishwa Integrated Rural Development Society,"Plot No.2529, Income Tax Colony, Mahantesh Nagar, Belgaum-590016","Cultural ,Economic ,Educational ,Social "
Karnataka,94440101,Peoplels Development Centre,"Rajshree Nivas, Pvt.#4, I Main, II Stage, Hanuman Nagar, 590001","Cultural ,Economic ,Educational ,Social "
Karnataka,94440103,Sahabhagini Federation of Womens Collectives,"C/o Birds Campus, Tukkanatti, Gokak, Belgaum, 591224",Social 
Karnataka,94440115,Neravu Society,"Ap Channammana Kitturu Ta Bailhongal Dist Belgaum Karnataka State, Belgaum, 591115","Cultural ,Economic ,Educational ,Social "
Karnataka,94440116,JANSWATHYA SEWA EDUCATION AND ANUSANDHAN SOUTHAN,"CHINTAMANI KRUPA IIND MAIN, 1ST CROSS, SADASHIV NAGAR, BELGAUM, 590001","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94440118,KARNATAKA INTEGRATED DEVELOPMENT SOCIETY BAILHONGAL (KIDS BAILHONGAL),"PRESIDENT KIDS BAILHONGAL BELGAUM ROAD, BAILHONGAL, 591102","Cultural ,Educational ,Social "
Karnataka,94440122,ADVISIDDESHWAR RURAL DEVELOPMENT SOCITY,"VINAYAKA NAGAR BEHIND COURT, BAILHONGAL, 591102",Social 
Karnataka,94440123,VIDYAJYOTI WOMENS RURAL DEVELOPMENT SOCIETY,"NAGANUR TAL GOKAK, BELGAUM, 591319","Religious(Hindu) ,Economic ,Educational ,Social "
Karnataka,94440126,SWAMI VIVEKANAND PRATISTHAN,"4TH CROSS VIDYANAGAR ANGOL, BELGAUM, 590007","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94440127,PRAGATI URBAN AND RURAL DEVELOPMENT SEVA SOCIETY,"GHATAPRABHA, GOKAK, 591306",Social 
Karnataka,94440128,Ramdurg Lions Charitable Trust,"Co Dr S S Kulkarni Saraswati Nursing Home Padkot Ramdurg, Belgaum, 591123",Social 
Karnataka,94440130,MAHESH FOUNDATION,"792/1, OPP GOVT KANNADA SCHOOL, SIDDESHWAR NAGAR, KANABARGI, , BELGAUM, 590016","Educational ,Social "
Karnataka,94440131,Jeevan Jyothi Charitable Trust,"Nava Jeevan Mission School Compound Falls Road Gokak Post Office, Belgaum, 591307","Cultural ,Economic ,Educational ,Social "
Karnataka,94450034,Abundant Life in Christ Ministries Association,"H.No. 6/8(1), Beside M.A.K. Azad, High School, Ordinance Road-583102",Social 
Karnataka,94450036,Social Education & Economic Development Trust,"Shop No.5, Near Shadi Mahal Complex, Arvind Nagar, HOSPET-583201",Social 
Karnataka,94450039,Rural Resources Development Association,"Lakshmi Nilaya, New Amaravathi, Hospet, Bellary-583201","Cultural ,Economic ,Educational ,Social "
Karnataka,94450049,VEERABHADRESHWARA EDUCATION AND RURAL DEVELOPMENT SOCIETY,"RAILWAY QUARTERS NO.61-A, NEAR RAILWAY STATION, HOSPET, 583201","Cultural ,Economic ,Educational ,Social "
Karnataka,94460004,Methodist Boys Hostel,", Bidar -585401","Religious(Christian) ,Educational ,"
Karnataka,94460024,Participative Watershed & Rural Development Agency,"Tripurant, Basavakalyan, Bidar-585327","Economic ,Social "
Karnataka,94460030,Rashtriya Santosh Education Society,"H.no.12-1-256, opp.SDA School, Outside Phathe Darwazah-585401","Educational ,"
Karnataka,94460045,Sri Revansidheshwar Education Trust,"Vidhay Nagar Colony, Mailoor Road, Bidar-585403","Economic ,Educational ,Social "
Karnataka,94460056,Sharana Tatwa Prasara and Rural Development Service Samasthe,"Koutha(B), Tq. Aurad, , Bidar, 585401","Religious(Hindu) ,Educational ,Social "
Karnataka,94460067,ANJANADEVI RURAL DEVELOPMENT SOCIETY,"VENKATESHWAR NIVAS, H.NO. 9-9-371, BRAHMAPUR COLONY, OLD HERO HONDA SHOWROOM, BVB COLLEGE ROAD, , BIDAR, 585403","Religious(Buddhist) ,Cultural ,Economic ,Educational ,Social "
Karnataka,94460070,DR SYED KHAJA SAIFUDDIN EDCUATIONAL AND CHARITABLE TRUST,"House No-1-7-183 Singar Bagh, Bidar, 585401","Educational ,Social "
Karnataka,94460071,AMAR CHACHA JAWAHARLAL NEHRU MEMORIAL CHARITABLE TRUST,"H NO 9-12-254 NEAR BHAVANI RICE MILL VIDYA NAGAR COLONY BIDAR, BIDAR, 585403","Economic ,Educational ,Social "
Karnataka,94470029,Spurthi Mahila Mandal,"Behind KHB Colony, Sholapur Road, Bijapur-586103","Cultural ,Economic ,Educational ,Social "
Karnataka,94470032,Rural Education And Child Health Societies Of India(,"At/post-tangadagi, Mudebihal Tq, Bijapur-586129","Educational ,Social "
